brand name,dosage form,generic,strength,manufacturer
A-Cold,Syrup,Bromhexine Hydrochloride,4 mg/5 ml,ACME Laboratories Ltd.
A-Cof,Syrup,Dextromethorphan + Pseudoephedrine + Triprolidine,(10 mg+30 mg+1.25 mg)/5 ml,ACME Laboratories Ltd.
A-Clox,Injection,Cloxacillin Sodium,500 mg/vial,ACME Laboratories Ltd.
A-Clox,Injection,Cloxacillin Sodium,250 mg/vial,ACME Laboratories Ltd.
A-Clox,Powder for Suspension,Cloxacillin Sodium,125 mg/5 ml,ACME Laboratories Ltd.
A-Clox,Capsule,Cloxacillin Sodium,500 mg,ACME Laboratories Ltd.
A-Care,Tablet,Betacarotene + Vitamin C + Vitamin E,6 mg+200 mg+50 mg,Asiatic Laboratories Ltd.
A-Card,Tablet,Isosorbide Mononitrate,20 mg,ACME Laboratories Ltd.
A-Calm,Tablet,Tolperisone Hydrochloride,50 mg,ACME Laboratories Ltd.
A-Cal DX,Tablet,Calcium Carbonate [Elemental source] + Vitamin D3,500 mg+400 IU,ACME Laboratories Ltd.
A-Cal D,Tablet,Calcium Carbonate [Elemental source] + Vitamin D3,500 mg+200 IU,ACME Laboratories Ltd.
A-Cal,Tablet,Calcium Carbonate,500 mg,ACME Laboratories Ltd.
A-B1,Tablet,Thiamine Hydrochloride,100 mg,ACME Laboratories Ltd.
5X,Tablet,Ulipristal Acetate [For emergency contraception],30 mg,Renata Limited
5-Fluril,IV Injection or Infusion,Fluorouracil,25 mg/ml,Techno Drugs Ltd.
Arubin,Capsule,Nabayas Louha Herbal Haematinic,500 mg,Square Pharmaceuticals Ltd.
Arkid,Syrup,Aravindasav,,ACME Laboratories Ltd.
Arjunacard,Syrup,Arjunarista,,ACME Laboratories Ltd.
Apelin,Syrup,Malus sylvestris,,Hamdard Bangladesh
Antiligo,Capsule,Barsina,,Hamdard Bangladesh
Anseng,Capsule,Panax Ginseng,500 mg,Aristopharma Ltd.
Anjort,Capsule,St. John’s Wort,300 mg,Ibn Sina Pharmaceuticals Ltd.
Amlacid,Syrup,Amalaki Rasayana,,ACME Laboratories Ltd.
Amlabery,Syrup,Sharbat Amla,,Drug International Ltd.
Amla (Hair oil),Scalp Solution,Emblic Myrobalan + Sesame,(1.66 ml+3.3 ml)/5 ml,Hamdard Bangladesh
AmCivit,Syrup,Emblica officinalis + Piper longum,(3.03 ml+0.12 gm)/5 ml,Square Pharmaceuticals Ltd.
Alvasin,Syrup,Ejaz,,Hamdard Bangladesh
Altiver,Capsule,Ginkgo Biloba,60 mg,Kemiko Pharmaceuticals Ltd.
Alovera,Tablet,Aloe indica+ Hyoscyamus niger + Piper nigrum,345 mg,ACME Laboratories Ltd.
Alkuli,Syrup,Buzuri,,Hamdard Bangladesh
Alisa,Tablet,Garlitab,,Hamdard Bangladesh
Aliksir,Capsule,Nigella Sativa [Black Seed Oil],500 mg,Renata Limited
Alfa-E,Chewable Tablet,Vitamin E [Alpha Tocopherol Acetate],200 mg,Aristopharma Ltd.
Agerd,Capsule,Tabkheer,,Hamdard Bangladesh
Afrodic,Syrup,Herbal cough syrup [Tulsi],,Ibn Sina Pharmaceuticals Ltd.
Afrodic,Tablet,Ambar Momiyaee,,Ibn Sina Pharmaceuticals Ltd.
Adovas,Syrup,Herbal cough syrup [Adhatoda Vasica],,Square Pharmaceuticals Ltd.
Adolef,Syrup,Herbal cough syrup [Adhatoda Vasica],,Opsonin Pharma Ltd.
Acteria,Oral Powder,Probiotic Combination [4 Billion],4 billion/sachet,Radiant Nutraceuticals Ltd.
Acteria,Capsule,Probiotic Combination [4 Billion],4 billion,Radiant Nutraceuticals Ltd.
Acmina,Syrup,"Mustakarista [Cyperus, Zingiber, Piper nigrum]",,ACME Laboratories Ltd.
Acme's Spirulina,Capsule,Spirulina,450 mg,ACME Laboratories Ltd.
Acme's Chyabanprash,Oral Suspension,Emblic Myrobalan + Aswagandha + Grape,,ACME Laboratories Ltd.
Acme's Basok,Syrup,Herbal cough syrup [Vasakarista],,ACME Laboratories Ltd.
Centurin,Capsule,Penitab,250 mg,Hamdard Bangladesh
Carmina,Tablet,Herbal gastric preparation,,Hamdard Bangladesh
Carmina,Syrup,Herbal gastric preparation,,Hamdard Bangladesh
Cardi Q,Capsule,Coenzyme Q10 [Ubidecarenone],50 mg,Square Pharmaceuticals Ltd.
Cardi Q,Capsule,Coenzyme Q10 [Ubidecarenone],100 mg,Square Pharmaceuticals Ltd.
Calrip,Tablet,Marwareedi,,Hamdard Bangladesh
Brogel,Capsule,Spirulina,500 mg,Bronson  Laboratories (BD) Ltd.
Braintel,Syrup,Brahmi Rasayan,,ACME Laboratories Ltd.
Bolardi,Capsule,Saccharomyces Boulardii,500 mg,Square Pharmaceuticals Ltd.
Bolardi,Capsule,Saccharomyces Boulardii,250 mg,Square Pharmaceuticals Ltd.
Bliss,Capsule,Silymarin [Milk thistle],140 mg,Purnava Limited
